committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416214,29,500441089,1654690,ORG,ORGANIZATION,,,USPS,DC,,,,,VOLUNTEER EXEMPT MAIL - LANDSMAN,,,2022-10-19 00:00:00,14297.79,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,WASHINGTON,202600004,OTHER,,2022,SB,4120120221632546475,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416214,Other Disbursements,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416213,29,500441115,1654690,ORG,ORGANIZATION,,,GDA WINS,DC,,,,,VOLUNTEER EXEMPT MAIL - LANDSMAN,,,2022-10-19 00:00:00,23690.96,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,WASHINGTON,200087550,OTHER,,2022,SB,4120120221632546474,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416213,Other Disbursements,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416271,30B,500441096,1654690,ORG,ORGANIZATION,,,MISSION CONTROL INC,CT,,,,,DIRECT MAIL - SAMPLE BALLOT SLATE,,,2022-10-18 00:00:00,133800.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,MANSFIELD CENTER,062501316,FUNDRAISING,,2022,SB,4120120221632546644,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416271,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416213,29,500441101,1654690,ORG,ORGANIZATION,,,MISSION CONTROL INC,CT,,,,,VOLUNTEER EXEMPT MAIL - KAPTUR,,,2022-10-18 00:00:00,58386.67,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,MANSFIELD CENTER,062501316,OTHER,,2022,SB,4120120221632546473,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416213,Other Disbursements,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416213,29,500441113,1654690,ORG,ORGANIZATION,,,FOOTE PRINTING,OH,,,,,VOLUNTEER EXEMPT MAIL,,,2022-10-17 00:00:00,5417.57,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,CLEVELAND,441042862,OTHER,,2022,SB,4120120221632546472,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416213,Other Disbursements,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416270,30B,500436168,1654690,IND,INDIVIDUAL,,,"ZICKES, MORGAN",OH,,,,,PAYROLL REIMBURSEMENT,X,,2022-10-14 00:00:00,125.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,ZICKES,MORGAN,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,HOLLAND,435289169,OTHER,*,2022,SB,4120120221632546643,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416270,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416270,30B,500436046,1654690,IND,INDIVIDUAL,,,"ZICKES, MORGAN",OH,,,,,PAYROLL,X,,2022-10-14 00:00:00,1687.54,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,ZICKES,MORGAN,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,HOLLAND,435289169,OTHER,*,2022,SB,4120120221632546642,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416270,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416270,30B,500436116,1654690,IND,INDIVIDUAL,,,"ZAMORE, HENRY",DC,,,,,PAYROLL REIMBURSEMENT,X,,2022-10-14 00:00:00,100.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,ZAMORE,HENRY,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,WASHINGTON,200095330,OTHER,*,2022,SB,4120120221632546641,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416270,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416269,30B,500435994,1654690,IND,INDIVIDUAL,,,"ZAMORE, HENRY",DC,,,,,PAYROLL,X,,2022-10-14 00:00:00,1688.49,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,ZAMORE,HENRY,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,WASHINGTON,200095330,OTHER,*,2022,SB,4120120221632546640,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416269,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00016899,OHIO DEMOCRATIC PARTY,2022,12G,202210279546416269,30B,500436126,1654690,IND,INDIVIDUAL,,,"WILKINSON, ROBIN",OH,,,,,PAYROLL REIMBURSEMENT,X,,2022-10-14 00:00:00,90.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,WILKINSON,ROBIN,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102820221592654173,CINCINNATI,452052132,OTHER,*,2022,SB,4120120221632546639,https://docquery.fec.gov/cgi-bin/fecimg/?202210279546416269,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
